Date,Wheat,Maize,Soybean,Rice
Jan-05,156,95.27,226.25,288
Jan-05,158,98.72,218.44,290
Jan-05,158,96.06,217.79,297
Jan-05,156,95.86,217.89,298
Feb-05,153,92.52,205.95,298
Feb-05,152,89.66,217.24,300
Feb-05,153,94.98,222.11,297
Feb-05,157,98.22,240.3,295
Mar-05,159,100.69,245.54,291
Mar-05,157,98.32,255.73,296
Mar-05,163,104.13,250.04,298
Mar-05,153,98.72,242.05,NA
Apr-05,152,98.03,236.81,298
Apr-05,145,95.37,236.44,300
Apr-05,145,95.86,240.21,300
Apr-05,147,97.04,247.28,302
Apr-05,154,98.32,243.33,NA
May-05,150,92.02,250.77,301
May-05,149,94.39,239.47,300
May-05,150,90.25,245.63,295
May-05,153,98.32,257.29,294
Jun-05,152,97.44,261.7,292
Jun-05,146,97.54,256.56,292
Jun-05,144,95.47,275.39,288
Jun-05,150,100.59,281.45,286
Jul-05,145,97.24,257.57,286
Jul-05,150,103.64,260.14,276
Jul-05,146,103.24,277.96,275
Jul-05,149,111.41,261.34,279
Jul-05,148,102.75,262.62,284
Aug-05,153,102.56,256.1,287
Aug-05,152,99.7,250.5,287
Aug-05,155,97.63,232.95,287
Aug-05,161,97.44,233.13,285
Sep-05,162,95.17,NA,285
Sep-05,159,NA,229.64,289
Sep-05,168,100.59,224.59,NA
Sep-05,169,97.93,228.73,292
Sep-05,173,92.81,227.53,292
Oct-05,177,97.73,222.75,294
Oct-05,176,101.18,231.3,294
Oct-05,173,102.95,224.59,293
Oct-05,172,103.34,222.11,289
Nov-05,171,98.91,232.58,286
Nov-05,168,96.26,238.83,282
Nov-05,167,97.14,228.08,281
Nov-05,163,96.26,226.34,283
Dec-05,165,94.98,230.29,283
Dec-05,166,100.09,236.53,286
Dec-05,164,104.23,242.41,286
Dec-05,169,104.03,245.44,287
Dec-05,173,105.11,242.69,NA
Jan-06,175,104.33,238.83,293
Jan-06,167,102.85,230.2,302
Jan-06,166,101.57,227.99,305
Jan-06,170,102.65,236.17,310
Feb-06,175,103.83,236.72,308
Feb-06,179,105.02,235.06,307
Feb-06,180,105.21,239.29,307
Feb-06,188,107.77,231.94,307
Mar-06,187,109.44,236.99,312
Mar-06,185,106.2,229.37,310
Mar-06,181,105.8,224.5,310
Mar-06,178,103.54,224.04,304
Mar-06,173,102.85,221.93,305
Apr-06,178,106.89,217.98,308
Apr-06,194,109.64,221.56,308
Apr-06,190,108.95,225.14,308
Apr-06,186,105.7,229.19,310
May-06,187,106.49,234.05,312
May-06,196,105.8,234.97,316
May-06,202,114.37,226.15,318
May-06,212,112.99,224.5,318
Jun-06,208,113.18,235.71,319
Jun-06,199,111.51,228.27,318
Jun-06,197,110.72,233.23,317
Jun-06,202,106.79,228.17,317
Jun-06,213,106.79,234.51,319
Jul-06,218,112.5,238.92,317
Jul-06,220,118.7,238.65,323
Jul-06,207,114.37,230.75,322
Jul-06,207,111.61,230.38,322
Aug-06,204,114.17,233.32,322
Aug-06,199,115.45,221.84,319
Aug-06,197,112.4,220.09,314
Aug-06,197,110.63,220.48,316
Sep-06,206,114.66,220.27,317
Sep-06,209,117.02,221.19,NA
Sep-06,204,115.45,224.78,316
Sep-06,210,119.68,225.88,315
Sep-06,208,125,223.58,309
Oct-06,211,126.77,228.36,302
Oct-06,215,131.29,236.81,309
Oct-06,221,149.01,246,308
Oct-06,226,150.49,254.81,303
Nov-06,215,149.9,260.78,297
Nov-06,220,162.99,260.78,301
Nov-06,219,165.64,259.77,308
Nov-06,218,167.02,266.2,312
Dec-06,220,169.78,270.06,312
Dec-06,223,160.48,261.98,314
Dec-06,212,160.33,259.41,314
Dec-06,210,157.08,NA,308
Dec-06,218,162.4,NA,NA
Jan-07,214,155.51,262.9,319
Jan-07,199,152.55,294.13,323
Jan-07,209,168.69,273.28,313
Jan-07,212,173.22,271.35,318
Feb-07,205,169.78,280.07,318
Feb-07,203,171.45,287.06,320
Feb-07,208,178.93,294.31,325
Feb-07,211,178.44,295.14,325
Mar-07,212,178.14,282,325
Mar-07,214,177.36,282.46,NA
Mar-07,210,171.55,274.1,330
Mar-07,207,168.6,283.84,323
Mar-07,203,161.02,283.56,323
Apr-07,194,143.99,NA,NA
Apr-07,207,154.72,274.29,323
Apr-07,212,148.71,271.07,322
Apr-07,212,154.13,269.88,322
May-07,208,158.06,272.08,322
May-07,202,153.34,281.03,322
May-07,206,160.53,290.82,328
May-07,196,160.62,299.09,326
Jun-07,201,160.72,301.66,332
Jun-07,213,166.63,304.42,333
Jun-07,231,166.33,312.96,333
Jun-07,235,170.27,304.23,333
Jun-07,246,157.47,318.43,333
Jul-07,245,145.86,316.63,333
Jul-07,247,153.73,331.88,339
Jul-07,NA,144.09,302.67,338
Jul-07,NA,140.35,302.4,NA
Aug-07,259,145.96,316.54,337
Aug-07,268,153.44,321.59,337
Aug-07,273,151.57,312.96,337
Aug-07,276,157.47,324.07,332
Aug-07,289,146.55,329.03,334
Sep-07,313,156,336.29,334
Sep-07,352,155.41,360.73,335
Sep-07,348,152.65,373.49,329
Sep-07,357,166.04,NA,333
Oct-07,374,160.33,357.69,329
Oct-07,346,157.67,365.5,332
Oct-07,343,164.95,374.14,344
Oct-07,351,164.95,378.09,345
Nov-07,344,168.2,380.57,347
Nov-07,339,174.3,399.03,349
Nov-07,314,170.37,406.65,NA
Nov-07,328,171.75,417.49,367
Nov-07,348,168.89,412.99,370
Dec-07,370,175.09,425.21,375
Dec-07,383,180.11,437.24,375
Dec-07,389,180.31,440.27,377
Dec-07,NA,190.84,458.55,NA
Jan-08,366,195.07,468.66,373
Jan-08,364,200.09,474.26,376
Jan-08,384,211.8,470.86,395
